,precision,recall,f1-score,support
mixed,0.296875,0.475,0.36538461538461536,80.0
negative,0.7669616519174042,0.6419753086419753,0.6989247311827957,405.0
neutral,0.3235294117647059,0.43564356435643564,0.37130801687763715,101.0
positive,0.5174825174825175,0.4625,0.4884488448844885,160.0
accuracy,0.5576407506702413,0.5576407506702413,0.5576407506702413,0.5576407506702413
macro avg,0.4762121452911569,0.5037797182496027,0.48101655208238425,746.0
weighted avg,0.6030068933136553,0.5576407506702413,0.5736584587747466,746.0
