,Replies,Replies,Replies,Reposts,Reposts,Reposts,Likes,Likes,Likes,Shares,Shares,Shares
,mean,sum,max,mean,sum,max,mean,sum,max,mean,sum,max
sentiment,,,,,,,,,,,,
mixed,38.373831775700936,20530,2900,64.45794392523365,34485,8500,428.3570093457944,229171,45500,39.83177570093458,21310,6200
negative,23.040029651593773,62162,3500,38.06931060044477,102711,8500,284.31727205337285,767088,45500,26.000741289844328,70150,6200
neutral,8.437869822485206,5704,1900,10.520710059171599,7112,4500,186.46597633136093,126051,96400,17.690828402366865,11959,11000
positive,17.992502343017808,19198,2800,15.663542642924087,16713,5200,152.1265229615745,162319,38000,6.357075913776945,6783,2800
