sentiment,anger,concern,confusion,contemplation,curiosity,derision,disagreement,disappointment,disgust,distrust,fear,frustration,hope,humor,irony,joy,mixed,mockery,neutral,sadness,sarcasm,sarcastic,satisfaction,skepticism,surprise,suspicion,trust,worry
mixed,10,0,85,0,0,0,0,27,0,0,0,235,2,1,0,8,1,0,28,4,9,0,30,0,30,0,27,38
negative,550,1,40,0,0,1,1,188,3,1,15,1607,0,0,1,3,0,2,9,33,69,2,10,2,9,11,1,139
neutral,0,0,83,1,5,0,0,0,0,0,0,12,0,3,0,13,0,0,502,1,0,0,1,0,36,1,12,6
positive,5,0,2,0,0,0,0,0,0,0,0,21,1,0,0,435,0,0,8,0,0,0,225,0,12,0,358,0
